,Region,Categoria,Marca,Segmento,MONTH,YEAR,VSIGV
0,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,5,2018,1644216.0322
1,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,10,2018,3684647.8106
2,CENTRO-ORIENTE,01 Mascarilla ,001 Elite,30 Productos Sanitarios,12,2020,17462.0874
3,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,9,2019,541985.9538
4,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,2021,1094453.9927
5,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,6,2019,5354291.2905
6,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,5,2020,1372813.8745
7,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,9,2018,1938021.4157
8,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,7,2018,6799275.3109
9,LIMA,01 Mascotas,038 Ok Pet,40 Mascotas,10,2020,22865.14
10,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,11,2020,6092905.4204
11,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,4,2019,281376.7777
12,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,2020,7435187.3211
13,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,7,2019,247073.7124
14,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,6,2019,7430293.1613
15,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,3,2020,193219.9107
16,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,10,2018,6239239.614
17,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,3,2019,24611.6133
18,CENTRO-ORIENTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,1,2019,185566.9085
19,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,2,2020,1982982.7763
20,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,11,2019,30294626.2027
21,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,2018,633571.751
22,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,2019,2277759.0789
23,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,2,2020,6257019.1951
24,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,1,2021,29143.2403
25,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,7,2020,14075.781
26,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,5,2020,18855.9256
27,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,5,2020,3728061.5149
28,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,9,2020,109854.2063
29,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,3,2021,419180.5656
30,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,3,2019,17297719.6959
31,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,1,2021,4298536.4744
32,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,2021,28988327.16
33,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,4,2021,300763.8054
34,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,12,2019,706404.4238
35,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,2020,3077290.5221
36,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,12,2020,3524370.1108
37,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,5,2019,1662772.401
38,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,3,2018,21592.6179
39,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,6,2019,1229773.698
40,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,9,2019,25714542.8526
41,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,12,2019,4988830.3919
42,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,8,2020,7371728.6817
43,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,5,2020,25441749.9102
44,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,8,2020,890230.8213
45,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,5,2019,2138642.87
46,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,7,2018,11793186.4182
47,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,1,2018,36460.1605
48,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,11,2019,34014.7264
49,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,8,2018,205422.8153
50,CENTRO-ORIENTE,01 Mascarilla ,001 Elite,30 Productos Sanitarios,9,2020,1377.8816
51,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,10,2018,743826.4328
52,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,2018,941227.2792
53,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,2020,660001.851
54,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,6,2019,567082.8485
55,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,7,2018,4958545.3767
56,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,7,2018,5997867.865
57,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,2018,230751.454
58,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,12,2018,28468914.5476
59,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,11,2019,1654947.1953
60,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,4,2018,23213.5412
61,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,8,2020,7301499.2752
62,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,2019,261001.5916
63,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,8,2018,228991.7879
64,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,7,2020,26195618.7346
65,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,1,2020,36199.6749
66,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,2020,358415.8641
67,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,1,2019,538326.4765
68,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,5,2019,187354.4083
69,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,8,2018,31348630.4547
70,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,11,2020,20219.8685
71,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,3,2020,9699741.983
72,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,5,2019,41445.7284
73,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,11,2018,234265.3408
74,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,5,2019,6112790.9185
75,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,8,2019,367229.2352
76,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,4,2020,77897.3865
77,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,7,2019,713614.9157
78,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,9,2018,79317.1344
79,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,3,2020,358390.0235
80,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,12,2020,25051718.0308
81,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,3,2018,10889366.3304
82,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,9,2018,4954595.7061
83,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,1,2018,4396046.1372
84,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,2020,6768701.9426
85,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,2,2020,925632.2191
86,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,7,2020,2345516.4694
87,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,7,2018,40472.015
88,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,8,2018,266058.2019
89,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,2020,36383.8715
90,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,11,2019,1139508.1168
91,CENTRO-ORIENTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,3,2019,1412924.0155
92,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,2019,19537.5239
93,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,12,2020,700123.8685
94,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,6,2018,38821.5199
95,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,2019,106722.6136
96,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,5,2019,53454.0962
97,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,2018,347414.0877
98,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,5,2018,28031.2518
99,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,8,2019,25212511.9355
100,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,2,2019,173374.537
101,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,4,2020,7284116.6729
102,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,8,2020,19002.1288
103,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,2,2019,58101.3528
104,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,2,2021,4338922.5996
105,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,3,2021,1316459.2972
106,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,9,2018,283798.6247
107,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,4,2021,1083.4788
108,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,8,2019,5753600.7276
109,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,6,2018,86102.9043
110,NORTE,01 Mascotas,038 Ok Pet,40 Mascotas,11,2020,3775.382
111,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,12,2020,253072.8895
112,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,2021,743390.4065
113,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,6,2020,677867.1279
114,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,1,2020,385423.8189
115,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,9,2020,25785901.3711
116,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,12,2018,5668791.9412
117,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,5,2019,320475.0648
118,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,12,2020,388686.6671
119,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,6,2018,42945.5738
120,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,1,2021,655008.4844
121,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,4,2020,1708148.4785
122,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,2021,581690.5782
123,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,12,2019,35344.2615
124,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,3,2021,26803953.0999
125,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,7,2020,255474.4289
126,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,1,2018,495594.045
127,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,8,2019,1204386.5337
128,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,11,2019,347933.205
129,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,7,2020,479633.6976
130,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,8,2018,8570923.5135
131,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,1,2019,9610.5237
132,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,2,2019,599296.6705
133,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,9,2019,661230.099
134,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,6,2018,50255.6674
135,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,9,2019,8784668.5687
136,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,6,2018,312471.2449
137,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,8,2018,2544640.3318
138,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,5,2020,9952.3472
139,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,9,2018,510882.5079
140,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,12,2020,13895212.3874
141,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,9,2019,33592.0535
142,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,4,2019,14492694.4999
143,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,9,2020,2087056.0658
144,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,10,2020,570055.4599
145,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,2,2019,30290.752
146,SUR,01 Mascotas,038 Ok Pet,40 Mascotas,4,2021,835.05
147,SUR,01 Mascotas,038 Ok Pet,40 Mascotas,8,2020,7964.9108
148,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,12,2020,18519667.1431
149,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,3,2021,15884881.2067
150,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,1,2020,719767.638
151,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,11,2019,15994460.5172
152,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,1,2019,6964960.8112
153,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,5,2020,3260272.9008
154,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,5,2018,5021816.9357
155,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,7,2020,16606232.0771
156,NORTE,01 Mascarilla ,001 Elite,30 Productos Sanitarios,10,2020,38820.0537
157,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,3,2020,29475276.1807
158,CENTRO-ORIENTE,03 Servilletas Masivos,003 Noble,10 Masivos,10,2018,764443.4939
159,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,7,2019,32096167.1947
160,NORTE,01 Higiénicos Masivos,003 Noble,10 Masivos,3,2019,25907357.6715
161,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,5,2019,617718.8433
162,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,9,2020,7182073.3605
163,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,11,2020,2096682.3143
164,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,8,2019,396976.7881
165,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,2,2018,16576.2591
166,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,4,2020,296962.9309
167,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,5,2018,10795546.5826
168,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,12,2018,212179.6954
169,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,9,2020,13500837.4474
170,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,3,2018,43761.7865
171,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,5,2019,704152.4016
172,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,10,2019,2512736.0311
173,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,6,2019,6025413.9413
174,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,11,2020,7117560.5685
175,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,10,2018,33321.2621
176,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,3,2021,23319.1829
177,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,10,2018,4056042.8557
178,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,6,2019,38190.9719
179,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,9,2018,683947.0176
180,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,3,2021,617762.5621
181,SUR,01 Mascotas,038 Ok Pet,40 Mascotas,5,2020,2725.2811
182,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,8,2018,22640977.8318
