,Region,Categoria,Marca,Segmento,Quincena,MES,AÑO,VSIGV
0,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,1,7,2020,443368.3106
1,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,6,2020,530936.2046
2,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,1,2021,314625.9278
3,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,9,2019,7004.5049
4,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,6,2018,1950586.5011
5,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,6,2019,893271.7401
6,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,1,1,2020,1488162.2615
7,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,1,2021,244367.0214
8,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,3,2020,2542697.5552
9,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,2,10,2019,350558.5473
10,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,3,2021,239863.5826
11,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,7,2019,4347862.9433
12,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,11,2018,12827.603
13,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,1,9,2018,1967401.1927
14,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,8,2019,13497413.7917
15,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,1,2020,143104.5462
16,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,1,5,2019,1947405.6108
17,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,3,2018,483580.0935
18,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,7,2019,17954.3594
19,LIMA,01 Higiénicos Masivos,003 Noble,10 Masivos,1,6,2018,7196672.1006
20,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,12,2018,8169901.7995
21,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,7,2019,3338582.4024
22,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,3,2021,410502.0312
23,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,2,12,2019,242409.1777
24,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,2,6,2020,552100.5919
25,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,2,2,2020,747075.7593
26,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,1,11,2019,339915.8454
27,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,2,2021,494780.4909
28,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,1,3,2021,289675.9334
29,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,9,2018,1735203.3967
30,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,5,2020,3797.58
31,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,2,2019,3036319.4012
32,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,2,9,2019,15061791.0328
33,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,5,2020,4858.7558
34,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,2,1,2018,21273.2628
35,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,1,1,2020,10668.3099
36,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,1,2,2019,856049.7103
37,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,1,4,2018,614063.7867
38,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,1,3,2020,21075.2143
39,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,1,4,2020,11378419.3041
40,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,2,2,2018,295096.7297
41,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,5,2020,210058.0635
42,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,1,7,2020,508281.5435
43,LIMA,03 Servilletas Masivos,001 Elite,10 Masivos,2,8,2019,4174621.8701
44,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,2,3,2020,3516916.2995
45,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,2,7,2019,2093336.0455
46,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,1,5,2018,363947.1567
