,Region,Categoria,Marca,Segmento,WEEK,YEAR,VSIGV
0,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,49,2020,166283.8346
1,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,22,2019,1825049.3048
2,NORTE,01 Higiénicos Masivos,001 Elite,10 Masivos,4,2019,7540100.2236
3,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,17,2019,29620.0955
4,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,20,2020,5359687.6953
5,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,3,2019,996207.1682
6,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,25,2019,1519047.7069
7,CENTRO-ORIENTE,03 Servilletas Masivos,006 Nova,10 Masivos,47,2019,8844.8449
8,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,48,2019,10813.6047
9,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,13,2018,477457.8846
10,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,13,2019,235636.6442
11,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,52,2019,44647.1728
12,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,53,2018,14335.2534
13,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,49,2019,79348.4802
14,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,49,2019,24215.0871
15,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,8,2019,824263.4229
16,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,10,2020,47370.4829
17,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,9,2019,1149349.4109
18,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,45,2018,218848.9138
19,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,26,2020,50154.7935
20,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,17,2018,887197.7261
21,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,50,2020,5192949.8749
22,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,40,2018,5082.0035
23,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,24,2020,4055256.4498
24,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,34,2018,153657.787
25,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,1,2021,104689.4231
26,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,13,2020,50723.0614
27,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,31,2018,86346.964
28,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,4,2020,1103054.2887
29,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,49,2020,172644.8436
30,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,45,2018,21522.9544
31,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,52,2018,4390.0773
32,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,47,2019,179227.1507
33,CENTRO-ORIENTE,04 Pañuelos Masivos,001 Elite,10 Masivos,44,2020,4622.4421
34,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,28,2019,3990969.8016
35,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,30,2019,204646.7098
36,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,3,2020,204704.753
37,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,5,2020,1589502.8201
38,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,5,2021,993074.8915
39,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,9,2021,144090.2294
40,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,40,2020,708593.0095
41,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,46,2018,137310.0445
42,NORTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,45,2020,128720.7206
43,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,7,2021,764128.642
44,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,12,2018,491173.8935
45,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,41,2019,23733.8107
46,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,44,2018,51752.3912
47,CENTRO-ORIENTE,01 Mascotas,038 Ok Pet,40 Mascotas,30,2020,810.6185
48,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,24,2018,110986.477
49,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,50,2017,31190.3
50,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,44,2018,111437.958
51,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,7,2019,198247.249
52,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,26,2018,1527940.1614
53,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,9,2020,398073.5213
54,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,5,2018,73573.3107
55,NORTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,25,2018,141845.4754
56,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,51,2018,111628.1763
57,NORTE,03 Servilletas Masivos,001 Elite,10 Masivos,7,2018,286902.0218
58,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,6,2021,101814.9343
59,SUR,02 Rollos de Cocina,006 Nova,10 Masivos,42,2019,133199.3039
60,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,24,2019,6277927.2824
61,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,20,2020,2301.0083
62,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,29,2018,811346.7615
63,SUR,01 Higiénicos Masivos,001 Elite,10 Masivos,30,2019,4166815.5053
64,LIMA,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,9,2018,28811.5302
65,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,40,2019,185767.4093
66,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,50,2020,433613.4797
67,LIMA,03 Servilletas Masivos,006 Nova,10 Masivos,45,2020,68433.4052
68,CENTRO-ORIENTE,01 Mascarilla ,001 Elite,30 Productos Sanitarios,1,2021,1061.4532
69,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,27,2019,84681.2127
70,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,21,2020,2025132.2507
71,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,6,2018,57254.6828
72,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,2018,63769.5832
73,SUR,01 Higiénicos Masivos,012 Higienol,10 Masivos,23,2020,178658.0758
74,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,7,2018,3741.1664
75,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,32,2019,2190.618
76,NORTE,04 Pañuelos Masivos,001 Elite,10 Masivos,10,2019,9769.8892
77,CENTRO-ORIENTE,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,7,2018,94024.7221
78,SUR,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,1,2018,6948.2864
79,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,25,2019,1185389.1656
80,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,9,2019,147413.2799
81,NORTE,02 Rollos de Cocina,001 Elite,10 Masivos,20,2018,166973.5457
82,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,3,2021,1033450.6587
83,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,7,2020,701215.954
84,CENTRO-ORIENTE,02 Rollos de Cocina,001 Elite,10 Masivos,8,2018,161902.7788
85,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,20,2020,57870.3103
86,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,50,2018,1188491.2336
87,NORTE,02 Rollos de Cocina,006 Nova,10 Masivos,31,2018,169744.6208
88,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,41,2020,117154.1168
89,SUR,02 Rollos de Cocina,001 Elite,10 Masivos,48,2019,183679.6765
90,NORTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,50,2020,3255386.6072
91,SUR,04 Pañuelos Masivos,001 Elite,10 Masivos,33,2019,19022.7592
92,LIMA,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,2,2019,182393.5308
93,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,3,2019,2945.8764
94,SUR,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,6,2018,22296.1116
95,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,13,2018,61303.85
96,SUR,03 Servilletas Masivos,006 Nova,10 Masivos,28,2020,1731.304
97,SUR,01 Mascotas,038 Ok Pet,40 Mascotas,51,2020,1166.3722
98,CENTRO-ORIENTE,01 Higiénicos Masivos,003 Noble,10 Masivos,33,2020,1477911.0426
99,LIMA,01 Higiénicos Masivos,012 Higienol,10 Masivos,46,2019,1352340.5884
100,LIMA,04 Pañuelos Masivos,001 Elite,10 Masivos,3,2019,46589.3178
101,NORTE,01 Higiénicos Masivos,012 Higienol,10 Masivos,2,2021,949064.5439
102,CENTRO-ORIENTE,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,43,2018,1266417.6446
103,NORTE,03 Servilletas Masivos,003 Noble,10 Masivos,45,2019,106620.2781
104,SUR,03 Servilletas Masivos,003 Noble,10 Masivos,5,2021,105140.93
105,SUR,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,14,2021,1608081.0376
106,LIMA,05 Pañales Bebe,008 Babysec,30 Productos Sanitarios,8,2021,7508377.0762
107,CENTRO-ORIENTE,03 Servilletas Masivos,001 Elite,10 Masivos,52,2017,6504.8
108,SUR,03 Servilletas Masivos,001 Elite,10 Masivos,24,2019,131210.6486
109,LIMA,02 Rollos de Cocina,006 Nova,10 Masivos,43,2020,2699028.3905
110,CENTRO-ORIENTE,01 Higiénicos Masivos,001 Elite,10 Masivos,48,2019,2229529.1207
111,LIMA,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,33,2020,541608.7799
112,CENTRO-ORIENTE,02 Rollos de Cocina,006 Nova,10 Masivos,47,2020,502443.1449
113,LIMA,01 Higiénicos Masivos,001 Elite,10 Masivos,38,2019,7543416.9793
114,NORTE,38 Pañales Adultos,037 Cotidian,30 Productos Sanitarios,33,2020,117422.4916
115,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,7,2021,159327.3359
116,SUR,01 Higiénicos Masivos,003 Noble,10 Masivos,3,2018,1360490.8022
117,LIMA,03 Servilletas Masivos,003 Noble,10 Masivos,11,2018,5470.0138
118,CENTRO-ORIENTE,11 Toallas Húmedas,008 Babysec,30 Productos Sanitarios,48,2020,66617.8315
119,SUR,10 Toallas Femeninas,036 Ladysoft,30 Productos Sanitarios,13,2021,194374.6153
120,LIMA,02 Rollos de Cocina,001 Elite,10 Masivos,13,2018,546783.6415
121,NORTE,03 Servilletas Masivos,006 Nova,10 Masivos,11,2020,3450.6184
